Protein_Group	Genes	Piezo1_OE_YODA1+_vs_Piezo1_OE_YODA1-_logFC	Piezo1_OE_YODA1+_vs_Piezo1_OE_YODA1-_pval
O15021	MAST4	2.85060938110239	0.002819573043006
O15054	KDM6B	1.5410487278629	0.0016488316009916
O75911	DHRS3	1.45131218950065	1.3781824849524301e-15
O76061	STC2	1.60718758468302	1.80254077767133e-09
P02656	APOC3	2.14120960073712	1.95617487919379e-09
P08174	CD55	1.43253507483922	2.73506915478276e-08
P15018	LIF	1.40322282231864	6.98252103618266e-10
P17301	ITGA2	1.80038457797467	8.605162545743891e-15
P18847	ATF3	2.39750966692118	1.1145884588432e-07
P19883	FST	3.85044523587202	8.64909184527506e-10
P35318	ADM	2.69016146808844	0.0016938468045384
P35354	PTGS2	2.36617611414341	0.0002957228735832
P48552	NRIP1	2.09122901638877	1.54090363787448e-05
P53539	FOSB	2.95846759957073	4.17885186140424e-13
P53805	RCAN1	2.3501350208587	1.32431357087792e-08
P55042	RRAD	2.92422658998295	4.13340313849037e-05
P56706	WNT7B	2.24860310699557	1.8757968837542e-05
P63252	KCNJ2	1.75230417026651	1.98194642823245e-06
Q01201	RELB	4.88349213832581	0.0038591064170132
Q02156	PRKCE	2.11685711470611	0.0022288043799092
Q03989	ARID5A	1.37438555486349	0.0035225457393235
Q13009	TIAM1	1.83932396856356	0.0032690315115142
Q13469	NFATC2	2.99290429500597	4.58287495931166e-09
Q13887	KLF5	1.70939660518	0.0073765387084555
Q15198	PDGFRL	2.8266147273439	0.0045897287687027
Q5TAT6	COL13A1	1.61879226985997	2.45091528870265e-05
Q5W0Q7	USPL1	3.58873094232906	0.0015700012166739
Q6S5L8	SHC4	2.4963970850364	0.0001242711163721
Q86SQ4	ADGRG6	3.57543263391166	0.0004104725382811
Q86UD1	OAF	1.89397252170363	0.0001885613782573
Q86VY9	TMEM200A	2.73457329229808	3.03456978236211e-05
Q86YW9	MED12L	1.94498246574718	0.0069087750444162
Q8IVW6	ARID3B	1.39889600805203	0.0086758649519859
Q8NAP3	ZBTB38	1.51797991104927	4.6244595860914e-09
Q8NCE0	TSEN2	2.63995453471198	0.004685785953201
Q8NFT8	DNER	3.34227471529141	0.0012588362631325
Q8WZ71	TMEM158	2.02202674229894	5.8727577479140106e-09
Q96AV8	E2F7	1.74526169095187	1.43870236203135e-08
Q96GX1	TCTN2	2.39636964658009	0.0013434020936904
Q99611	SEPHS2	1.56031798933365	0.0063844633886492
Q99685	MGLL	1.76587439089983	0.0001469685278369
Q9H5J8	TAF1D	2.56745009627835	0.001218217691967
